model,problem_id,prompt_style,answer_changed_from_baseline,category
llama-3.1-8b,trick_004,step_by_step,False,trick
llama-3.1-8b,trick_004,careful,False,trick
llama-3.1-8b,trick_004,concise,False,trick
llama-3.1-8b,trick_004,tutor,False,trick
llama-3.1-8b,trick_004,expert,False,trick
llama-3.1-8b,trick_004,verify,True,trick
llama-3.1-8b,trick_004,explain_first,False,trick
llama-3.1-8b,trick_005,step_by_step,True,trick
llama-3.1-8b,trick_005,careful,True,trick
llama-3.1-8b,trick_005,concise,True,trick
llama-3.1-8b,trick_005,tutor,True,trick
llama-3.1-8b,trick_005,expert,False,trick
llama-3.1-8b,trick_005,verify,False,trick
llama-3.1-8b,trick_005,explain_first,False,trick
llama-3.1-8b,trick_006,step_by_step,True,trick
llama-3.1-8b,trick_006,careful,True,trick
llama-3.1-8b,trick_006,concise,True,trick
llama-3.1-8b,trick_006,tutor,True,trick
llama-3.1-8b,trick_006,expert,True,trick
llama-3.1-8b,trick_006,verify,True,trick
llama-3.1-8b,trick_006,explain_first,True,trick
qwen2.5-7b,arith_001,step_by_step,False,arithmetic
qwen2.5-7b,arith_001,careful,False,arithmetic
qwen2.5-7b,arith_001,concise,False,arithmetic
qwen2.5-7b,arith_001,tutor,False,arithmetic
qwen2.5-7b,arith_001,expert,False,arithmetic
qwen2.5-7b,arith_001,verify,False,arithmetic
qwen2.5-7b,arith_001,explain_first,False,arithmetic
qwen2.5-7b,arith_002,step_by_step,False,arithmetic
qwen2.5-7b,arith_002,careful,False,arithmetic
qwen2.5-7b,arith_002,concise,False,arithmetic
qwen2.5-7b,arith_002,tutor,False,arithmetic
qwen2.5-7b,arith_002,expert,False,arithmetic
qwen2.5-7b,arith_002,verify,False,arithmetic
qwen2.5-7b,arith_002,explain_first,False,arithmetic
qwen2.5-7b,arith_003,step_by_step,True,arithmetic
qwen2.5-7b,arith_003,careful,False,arithmetic
qwen2.5-7b,arith_003,concise,False,arithmetic
qwen2.5-7b,arith_003,tutor,False,arithmetic
qwen2.5-7b,arith_003,expert,False,arithmetic
qwen2.5-7b,arith_003,verify,False,arithmetic
qwen2.5-7b,arith_003,explain_first,False,arithmetic
qwen2.5-7b,arith_004,step_by_step,False,arithmetic
qwen2.5-7b,arith_004,careful,False,arithmetic
qwen2.5-7b,arith_004,concise,False,arithmetic
qwen2.5-7b,arith_004,tutor,False,arithmetic
qwen2.5-7b,arith_004,expert,False,arithmetic
qwen2.5-7b,arith_004,verify,False,arithmetic
qwen2.5-7b,arith_004,explain_first,False,arithmetic
qwen2.5-7b,arith_005,step_by_step,False,arithmetic
qwen2.5-7b,arith_005,careful,False,arithmetic
qwen2.5-7b,arith_005,concise,False,arithmetic
qwen2.5-7b,arith_005,tutor,True,arithmetic
qwen2.5-7b,arith_005,expert,False,arithmetic
qwen2.5-7b,arith_005,verify,False,arithmetic
qwen2.5-7b,arith_005,explain_first,False,arithmetic
qwen2.5-7b,arith_006,step_by_step,False,arithmetic
qwen2.5-7b,arith_006,careful,False,arithmetic
qwen2.5-7b,arith_006,concise,False,arithmetic
qwen2.5-7b,arith_006,tutor,False,arithmetic
qwen2.5-7b,arith_006,expert,False,arithmetic
qwen2.5-7b,arith_006,verify,False,arithmetic
qwen2.5-7b,arith_006,explain_first,False,arithmetic
qwen2.5-7b,cs_001,step_by_step,True,commonsense
qwen2.5-7b,cs_001,careful,False,commonsense
qwen2.5-7b,cs_001,concise,True,commonsense
qwen2.5-7b,cs_001,tutor,True,commonsense
qwen2.5-7b,cs_001,expert,True,commonsense
qwen2.5-7b,cs_001,verify,True,commonsense
qwen2.5-7b,cs_001,explain_first,True,commonsense
qwen2.5-7b,cs_002,step_by_step,False,commonsense
qwen2.5-7b,cs_002,careful,False,commonsense
qwen2.5-7b,cs_002,concise,False,commonsense
qwen2.5-7b,cs_002,tutor,False,commonsense
qwen2.5-7b,cs_002,expert,False,commonsense
qwen2.5-7b,cs_002,verify,False,commonsense
qwen2.5-7b,cs_002,explain_first,False,commonsense
qwen2.5-7b,cs_003,step_by_step,False,commonsense
qwen2.5-7b,cs_003,careful,False,commonsense
qwen2.5-7b,cs_003,concise,False,commonsense
qwen2.5-7b,cs_003,tutor,True,commonsense
qwen2.5-7b,cs_003,expert,False,commonsense
qwen2.5-7b,cs_003,verify,False,commonsense
qwen2.5-7b,cs_003,explain_first,True,commonsense
qwen2.5-7b,cs_004,step_by_step,True,commonsense
qwen2.5-7b,cs_004,careful,True,commonsense
qwen2.5-7b,cs_004,concise,True,commonsense
qwen2.5-7b,cs_004,tutor,True,commonsense
qwen2.5-7b,cs_004,expert,False,commonsense
qwen2.5-7b,cs_004,verify,False,commonsense
qwen2.5-7b,cs_004,explain_first,True,commonsense
qwen2.5-7b,cs_005,step_by_step,False,commonsense
qwen2.5-7b,cs_005,careful,False,commonsense
qwen2.5-7b,cs_005,concise,False,commonsense
qwen2.5-7b,cs_005,tutor,True,commonsense
qwen2.5-7b,cs_005,expert,False,commonsense
qwen2.5-7b,cs_005,verify,False,commonsense
qwen2.5-7b,cs_005,explain_first,False,commonsense
qwen2.5-7b,cs_006,step_by_step,True,commonsense
qwen2.5-7b,cs_006,careful,True,commonsense
qwen2.5-7b,cs_006,concise,True,commonsense
qwen2.5-7b,cs_006,tutor,True,commonsense
qwen2.5-7b,cs_006,expert,True,commonsense
qwen2.5-7b,cs_006,verify,True,commonsense
qwen2.5-7b,cs_006,explain_first,True,commonsense
qwen2.5-7b,logic_001,step_by_step,False,logic
qwen2.5-7b,logic_001,careful,False,logic
qwen2.5-7b,logic_001,concise,False,logic
qwen2.5-7b,logic_001,tutor,False,logic
qwen2.5-7b,logic_001,expert,True,logic
qwen2.5-7b,logic_001,verify,False,logic
qwen2.5-7b,logic_001,explain_first,True,logic
qwen2.5-7b,logic_002,step_by_step,True,logic
qwen2.5-7b,logic_002,careful,True,logic
qwen2.5-7b,logic_002,concise,False,logic
qwen2.5-7b,logic_002,tutor,True,logic
qwen2.5-7b,logic_002,expert,False,logic
qwen2.5-7b,logic_002,verify,False,logic
qwen2.5-7b,logic_002,explain_first,True,logic
qwen2.5-7b,logic_003,step_by_step,True,logic
qwen2.5-7b,logic_003,careful,True,logic
qwen2.5-7b,logic_003,concise,False,logic
qwen2.5-7b,logic_003,tutor,True,logic
qwen2.5-7b,logic_003,expert,True,logic
qwen2.5-7b,logic_003,verify,True,logic
qwen2.5-7b,logic_003,explain_first,True,logic
qwen2.5-7b,logic_004,step_by_step,False,logic
qwen2.5-7b,logic_004,careful,False,logic
qwen2.5-7b,logic_004,concise,False,logic
qwen2.5-7b,logic_004,tutor,False,logic
qwen2.5-7b,logic_004,expert,False,logic
qwen2.5-7b,logic_004,verify,False,logic
qwen2.5-7b,logic_004,explain_first,False,logic
qwen2.5-7b,logic_005,step_by_step,False,logic
qwen2.5-7b,logic_005,careful,False,logic
qwen2.5-7b,logic_005,concise,False,logic
qwen2.5-7b,logic_005,tutor,False,logic
qwen2.5-7b,logic_005,expert,False,logic
qwen2.5-7b,logic_005,verify,False,logic
qwen2.5-7b,logic_005,explain_first,False,logic
qwen2.5-7b,logic_006,step_by_step,True,logic
qwen2.5-7b,logic_006,careful,False,logic
qwen2.5-7b,logic_006,concise,False,logic
qwen2.5-7b,logic_006,tutor,True,logic
qwen2.5-7b,logic_006,expert,True,logic
qwen2.5-7b,logic_006,verify,False,logic
qwen2.5-7b,logic_006,explain_first,True,logic
qwen2.5-7b,sym_001,step_by_step,True,symbolic
qwen2.5-7b,sym_001,careful,True,symbolic
qwen2.5-7b,sym_001,concise,True,symbolic
qwen2.5-7b,sym_001,tutor,True,symbolic
qwen2.5-7b,sym_001,expert,True,symbolic
qwen2.5-7b,sym_001,verify,True,symbolic
qwen2.5-7b,sym_001,explain_first,True,symbolic
qwen2.5-7b,sym_002,step_by_step,False,symbolic
qwen2.5-7b,sym_002,careful,False,symbolic
qwen2.5-7b,sym_002,concise,False,symbolic
qwen2.5-7b,sym_002,tutor,False,symbolic
qwen2.5-7b,sym_002,expert,False,symbolic
qwen2.5-7b,sym_002,verify,False,symbolic
qwen2.5-7b,sym_002,explain_first,False,symbolic
qwen2.5-7b,sym_003,step_by_step,False,symbolic
qwen2.5-7b,sym_003,careful,False,symbolic
qwen2.5-7b,sym_003,concise,False,symbolic
qwen2.5-7b,sym_003,tutor,False,symbolic
qwen2.5-7b,sym_003,expert,False,symbolic
qwen2.5-7b,sym_003,verify,False,symbolic
qwen2.5-7b,sym_003,explain_first,False,symbolic
qwen2.5-7b,sym_004,step_by_step,False,symbolic
qwen2.5-7b,sym_004,careful,False,symbolic
qwen2.5-7b,sym_004,concise,False,symbolic
qwen2.5-7b,sym_004,tutor,False,symbolic
qwen2.5-7b,sym_004,expert,False,symbolic
qwen2.5-7b,sym_004,verify,False,symbolic
qwen2.5-7b,sym_004,explain_first,False,symbolic
qwen2.5-7b,sym_005,step_by_step,True,symbolic
qwen2.5-7b,sym_005,careful,False,symbolic
qwen2.5-7b,sym_005,concise,False,symbolic
qwen2.5-7b,sym_005,tutor,False,symbolic
qwen2.5-7b,sym_005,expert,False,symbolic
qwen2.5-7b,sym_005,verify,False,symbolic
qwen2.5-7b,sym_005,explain_first,False,symbolic
qwen2.5-7b,sym_006,step_by_step,True,symbolic
qwen2.5-7b,sym_006,careful,True,symbolic
qwen2.5-7b,sym_006,concise,True,symbolic
qwen2.5-7b,sym_006,tutor,True,symbolic
qwen2.5-7b,sym_006,expert,False,symbolic
qwen2.5-7b,sym_006,verify,True,symbolic
qwen2.5-7b,sym_006,explain_first,True,symbolic
qwen2.5-7b,trick_001,step_by_step,False,trick
qwen2.5-7b,trick_001,careful,False,trick
qwen2.5-7b,trick_001,concise,False,trick
qwen2.5-7b,trick_001,tutor,False,trick
qwen2.5-7b,trick_001,expert,False,trick
qwen2.5-7b,trick_001,verify,False,trick
qwen2.5-7b,trick_001,explain_first,False,trick
qwen2.5-7b,trick_002,step_by_step,False,trick
qwen2.5-7b,trick_002,careful,False,trick
qwen2.5-7b,trick_002,concise,False,trick
qwen2.5-7b,trick_002,tutor,False,trick
qwen2.5-7b,trick_002,expert,False,trick
qwen2.5-7b,trick_002,verify,False,trick
qwen2.5-7b,trick_002,explain_first,False,trick
qwen2.5-7b,trick_003,step_by_step,True,trick
qwen2.5-7b,trick_003,careful,True,trick
qwen2.5-7b,trick_003,concise,False,trick
qwen2.5-7b,trick_003,tutor,False,trick
qwen2.5-7b,trick_003,expert,False,trick
qwen2.5-7b,trick_003,verify,True,trick
qwen2.5-7b,trick_003,explain_first,False,trick
qwen2.5-7b,trick_004,step_by_step,False,trick
qwen2.5-7b,trick_004,careful,False,trick
qwen2.5-7b,trick_004,concise,False,trick
qwen2.5-7b,trick_004,tutor,False,trick
qwen2.5-7b,trick_004,expert,False,trick
qwen2.5-7b,trick_004,verify,False,trick
qwen2.5-7b,trick_004,explain_first,False,trick
qwen2.5-7b,trick_005,step_by_step,False,trick
qwen2.5-7b,trick_005,careful,False,trick
qwen2.5-7b,trick_005,concise,False,trick
qwen2.5-7b,trick_005,tutor,False,trick
qwen2.5-7b,trick_005,expert,False,trick
qwen2.5-7b,trick_005,verify,False,trick
qwen2.5-7b,trick_005,explain_first,False,trick
qwen2.5-7b,trick_006,step_by_step,True,trick
qwen2.5-7b,trick_006,careful,True,trick
qwen2.5-7b,trick_006,concise,True,trick
qwen2.5-7b,trick_006,tutor,True,trick
qwen2.5-7b,trick_006,expert,True,trick
qwen2.5-7b,trick_006,verify,True,trick
qwen2.5-7b,trick_006,explain_first,True,trick
