model,problem_id,category,careful,concise,expert,explain_first,neutral,step_by_step,tutor,verify
llama-3.1-8b,sym_005,symbolic,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
llama-3.1-8b,sym_006,symbolic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama-3.1-8b,trick_001,trick,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
llama-3.1-8b,trick_002,trick,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
llama-3.1-8b,trick_003,trick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama-3.1-8b,trick_004,trick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
llama-3.1-8b,trick_005,trick,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
llama-3.1-8b,trick_006,trick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5-7b,arith_001,arithmetic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qwen2.5-7b,arith_002,arithmetic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qwen2.5-7b,arith_003,arithmetic,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
qwen2.5-7b,arith_004,arithmetic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qwen2.5-7b,arith_005,arithmetic,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
qwen2.5-7b,arith_006,arithmetic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qwen2.5-7b,cs_001,commonsense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5-7b,cs_002,commonsense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5-7b,cs_003,commonsense,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
qwen2.5-7b,cs_004,commonsense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5-7b,cs_005,commonsense,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
qwen2.5-7b,cs_006,commonsense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5-7b,logic_001,logic,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
qwen2.5-7b,logic_002,logic,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
qwen2.5-7b,logic_003,logic,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
qwen2.5-7b,logic_004,logic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qwen2.5-7b,logic_005,logic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qwen2.5-7b,logic_006,logic,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
qwen2.5-7b,sym_001,symbolic,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
qwen2.5-7b,sym_002,symbolic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qwen2.5-7b,sym_003,symbolic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qwen2.5-7b,sym_004,symbolic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qwen2.5-7b,sym_005,symbolic,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
qwen2.5-7b,sym_006,symbolic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5-7b,trick_001,trick,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qwen2.5-7b,trick_002,trick,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qwen2.5-7b,trick_003,trick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5-7b,trick_004,trick,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qwen2.5-7b,trick_005,trick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5-7b,trick_006,trick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
